type,flag,timeCreated,timeEnqueued,timeDequeued,timeForwarded,timeReceived,timeReturned
GET,GET_SUCCESS,1478613691406,1478613691406,1478613691409,1478613691409,1478613691410,1478613691410
GET,GET_SUCCESS,1478613691425,1478613691425,1478613691435,1478613691435,1478613691435,1478613691435
GET,GET_SUCCESS,1478613691437,1478613691437,1478613691439,1478613691439,1478613691440,1478613691440
GET,GET_SUCCESS,1478613691456,1478613691456,1478613691456,1478613691456,1478613691456,1478613691456
GET,GET_SUCCESS,1478613691530,1478613691530,1478613691532,1478613691532,1478613691532,1478613691532
GET,GET_SUCCESS,1478613691540,1478613691540,1478613691543,1478613691543,1478613691543,1478613691543
GET,GET_SUCCESS,1478613691561,1478613691561,1478613691563,1478613691563,1478613691570,1478613691571
GET,GET_SUCCESS,1478613691597,1478613691597,1478613691601,1478613691601,1478613691602,1478613691602
GET,GET_SUCCESS,1478613691607,1478613691607,1478613691620,1478613691620,1478613691620,1478613691620
GET,GET_SUCCESS,1478613691327,1478613691327,1478613691620,1478613691620,1478613691621,1478613691621
GET,GET_SUCCESS,1478613691674,1478613691674,1478613691679,1478613691679,1478613691679,1478613691679
GET,GET_SUCCESS,1478613691705,1478613691705,1478613691705,1478613691705,1478613691705,1478613691705
GET,GET_SUCCESS,1478613691684,1478613691684,1478613691706,1478613691706,1478613691707,1478613691707
GET,GET_SUCCESS,1478613691726,1478613691726,1478613691727,1478613691727,1478613691727,1478613691727
GET,GET_SUCCESS,1478613691756,1478613691756,1478613691765,1478613691765,1478613691766,1478613691766
GET,GET_SUCCESS,1478613691767,1478613691767,1478613691769,1478613691769,1478613691770,1478613691770
GET,GET_SUCCESS,1478613691786,1478613691786,1478613691797,1478613691797,1478613691797,1478613691797
GET,GET_SUCCESS,1478613691550,1478613691550,1478613691797,1478613691797,1478613691797,1478613691797
GET,GET_SUCCESS,1478613691797,1478613691797,1478613691799,1478613691799,1478613691799,1478613691799
GET,GET_SUCCESS,1478613691816,1478613691816,1478613691825,1478613691825,1478613691825,1478613691825
GET,GET_SUCCESS,1478613691579,1478613691579,1478613691827,1478613691827,1478613691827,1478613691827
GET,GET_SUCCESS,1478613691826,1478613691826,1478613691837,1478613691837,1478613691837,1478613691837
